timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749550442255,39,GET Root,200,OK,User Load 1-2,text,true,,139,116,12,12,http://localhost:8080/,34,0,26
1749550442249,44,GET Root,200,OK,User Load 1-1,text,true,,139,116,12,12,http://localhost:8080/,39,0,31
1749550442355,3,GET Root,200,OK,User Load 1-3,text,true,,139,116,13,13,http://localhost:8080/,3,0,1
1749550442455,2,GET Root,200,OK,User Load 1-4,text,true,,139,116,14,14,http://localhost:8080/,2,0,1
1749550442555,3,GET Root,200,OK,User Load 1-5,text,true,,139,116,15,15,http://localhost:8080/,3,0,1
1749550442654,2,GET Root,200,OK,User Load 1-6,text,true,,139,116,16,16,http://localhost:8080/,2,0,1
1749550442753,2,GET Root,200,OK,User Load 1-7,text,true,,139,116,17,17,http://localhost:8080/,2,0,1
1749550442853,2,GET Root,200,OK,User Load 1-8,text,true,,139,116,18,18,http://localhost:8080/,2,0,1
1749550442954,2,GET Root,200,OK,User Load 1-9,text,true,,139,116,19,19,http://localhost:8080/,2,0,1
1749550443055,3,GET Root,200,OK,User Load 1-10,text,true,,139,116,20,20,http://localhost:8080/,3,0,1
1749550443154,3,GET Root,200,OK,User Load 1-11,text,true,,139,116,21,21,http://localhost:8080/,3,0,1
1749550443253,3,GET Root,200,OK,User Load 1-12,text,true,,139,116,22,22,http://localhost:8080/,3,0,1
1749550443297,2,GET Root,200,OK,User Load 1-1,text,true,,139,116,22,22,http://localhost:8080/,2,0,1
1749550443298,2,GET Root,200,OK,User Load 1-2,text,true,,139,116,22,22,http://localhost:8080/,2,0,0
1749550443352,2,GET Root,200,OK,User Load 1-13,text,true,,139,116,23,23,http://localhost:8080/,2,0,1
1749550443359,2,GET Root,200,OK,User Load 1-3,text,true,,139,116,23,23,http://localhost:8080/,2,0,1
1749550443453,2,GET Root,200,OK,User Load 1-14,text,true,,139,116,24,24,http://localhost:8080/,2,0,1
1749550443458,3,GET Root,200,OK,User Load 1-4,text,true,,139,116,24,24,http://localhost:8080/,3,0,1
1749550443553,2,GET Root,200,OK,User Load 1-15,text,true,,139,116,25,25,http://localhost:8080/,2,0,1
1749550443559,2,GET Root,200,OK,User Load 1-5,text,true,,139,116,25,25,http://localhost:8080/,2,0,0
1749550443653,3,GET Root,200,OK,User Load 1-16,text,true,,139,116,26,26,http://localhost:8080/,3,0,1
1749550443658,2,GET Root,200,OK,User Load 1-6,text,true,,139,116,26,26,http://localhost:8080/,2,0,0
1749550443753,3,GET Root,200,OK,User Load 1-17,text,true,,139,116,27,27,http://localhost:8080/,3,0,1
1749550443757,2,GET Root,200,OK,User Load 1-7,text,true,,139,116,27,27,http://localhost:8080/,2,0,1
1749550443853,3,GET Root,200,OK,User Load 1-18,text,true,,139,116,28,28,http://localhost:8080/,2,0,1
1749550443857,2,GET Root,200,OK,User Load 1-8,text,true,,139,116,28,28,http://localhost:8080/,2,0,1
1749550443953,3,GET Root,200,OK,User Load 1-19,text,true,,139,116,29,29,http://localhost:8080/,3,0,1
1749550443957,2,GET Root,200,OK,User Load 1-9,text,true,,139,116,29,29,http://localhost:8080/,2,0,1
